id,user_id,group_type,trade_no,qty,price,decision_time_secs,risk_level,time_elapsed_secs,timestamp
1,U001,A,1,5,100.0,4.0,Low,10.0,2026-03-10 10:00:00
2,U002,B,2,8,120.0,6.0,Medium,15.0,2026-03-10 10:01:00
3,U003,A,3,6,95.0,7.0,High,18.0,2026-03-10 10:02:00
4,U004,B,4,10,110.0,5.0,Low,12.0,2026-03-10 10:03:00
5,U005,A,5,7,105.0,8.0,Medium,20.0,2026-03-10 10:04:00
6,U006,B,6,9,115.0,6.0,Low,14.0,2026-03-10 10:05:00
7,U007,A,7,4,90.0,9.0,High,21.0,2026-03-10 10:06:00
8,U008,B,8,12,130.0,5.0,Medium,13.0,2026-03-10 10:07:00
9,U009,A,9,3,80.0,7.0,Low,17.0,2026-03-10 10:08:00
10,U010,B,10,6,100.0,4.0,Medium,11.0,2026-03-10 10:09:00
11,U011,A,11,8,120.0,6.0,High,19.0,2026-03-10 10:10:00
12,U012,B,12,5,95.0,5.0,Low,12.0,2026-03-10 10:11:00
13,U013,A,13,7,110.0,8.0,Medium,16.0,2026-03-10 10:12:00
14,U014,B,14,9,125.0,7.0,High,20.0,2026-03-10 10:13:00
15,U015,A,15,6,105.0,5.0,Low,13.0,2026-03-10 10:14:00
16,U016,B,16,10,140.0,6.0,Medium,15.0,2026-03-10 10:15:00
17,U017,A,17,4,85.0,9.0,High,22.0,2026-03-10 10:16:00
18,U018,B,18,11,135.0,5.0,Medium,14.0,2026-03-10 10:17:00
19,U019,A,19,5,92.0,7.0,Low,18.0,2026-03-10 10:18:00
20,U020,B,20,8,120.0,6.0,Medium,16.0,2026-03-10 10:19:00
21,U021,A,21,6,100.0,4.0,Low,10.0,2026-03-10 10:20:00
22,U022,B,22,7,115.0,5.0,Medium,14.0,2026-03-10 10:21:00
23,U023,A,23,9,130.0,7.0,High,20.0,2026-03-10 10:22:00
24,U024,B,24,5,95.0,6.0,Low,12.0,2026-03-10 10:23:00
25,U025,A,25,8,120.0,8.0,Medium,17.0,2026-03-10 10:24:00
26,U026,B,26,6,105.0,5.0,Low,11.0,2026-03-10 10:25:00
27,U027,A,27,10,140.0,7.0,High,21.0,2026-03-10 10:26:00
28,U028,B,28,4,85.0,6.0,Medium,15.0,2026-03-10 10:27:00
29,U029,A,29,7,110.0,9.0,High,23.0,2026-03-10 10:28:00
30,U030,B,30,6,100.0,4.0,Low,10.0,2026-03-10 10:29:00
31,U031,A,31,9,135.0,6.0,Medium,16.0,2026-03-10 10:30:00
32,U032,B,32,5,95.0,7.0,Low,18.0,2026-03-10 10:31:00
33,U033,A,33,8,120.0,5.0,Medium,14.0,2026-03-10 10:32:00
34,U034,B,34,6,105.0,8.0,High,19.0,2026-03-10 10:33:00
35,U035,A,35,10,140.0,7.0,High,21.0,2026-03-10 10:34:00
36,U036,B,36,7,110.0,6.0,Low,15.0,2026-03-10 10:35:00
37,U037,A,37,5,92.0,9.0,High,22.0,2026-03-10 10:36:00
38,U038,B,38,8,120.0,5.0,Medium,13.0,2026-03-10 10:37:00
39,U039,A,39,6,100.0,7.0,Low,18.0,2026-03-10 10:38:00
40,U040,B,40,9,130.0,6.0,Medium,16.0,2026-03-10 10:39:00
41,U041,A,41,7,110.0,5.0,Low,12.0,2026-03-10 10:40:00
42,U042,B,42,8,120.0,7.0,Medium,17.0,2026-03-10 10:41:00
43,U043,A,43,6,100.0,8.0,High,20.0,2026-03-10 10:42:00
44,U044,B,44,5,95.0,6.0,Low,13.0,2026-03-10 10:43:00
45,U045,A,45,10,140.0,7.0,High,21.0,2026-03-10 10:44:00
46,U046,B,46,8,120.0,5.0,Medium,14.0,2026-03-10 10:45:00
47,U047,A,47,7,110.0,6.0,Low,15.0,2026-03-10 10:46:00
48,U048,B,48,6,105.0,9.0,High,22.0,2026-03-10 10:47:00
49,U049,A,49,5,95.0,7.0,Medium,18.0,2026-03-10 10:48:00
50,U050,B,50,9,130.0,6.0,Low,16.0,2026-03-10 10:49:00
